Rank,Restaurant,Content,Sales,YOY_Sales,Units,YOY_Units,Headquarters,Segment_Category
16,Applebee's,NA,4085,-3.00%,1665,-1.70%,NA,Casual Dining & Varied Menu
17,Panda Express,"Panda Express has quietly established itself as a fast-casual stalwart, posting another year of double-digit sales growth (12%). ""They continue to have just strong year after strong year, and there's never any competition in their segment,"" said Schimpf.",3946,12.00%,2209,4.90%,NA,Fast Casual & Asian/Noodle
18,Arby's,NA,3884,1.90%,3359,0.90%,NA,Quick Service & Sandwich
19,Popeyes Louisiana Kitchen,NA,3812,18.30%,2476,5.50%,NA,Quick Service & Chicken
20,Little Caesars,"The third-largest pizza chain's self-service, heated Pizza Portals have helped it stay competitive in the carryout-pizza sector. And in January, Little Caesars made its return to the delivery space, partnering with DoorDash to deliver pies for ""at least $5 less"" than its competitors.",3811,2.70%,4237,-0.60%,NA,Quick Service & Pizza
21,Dairy Queen,NA,3760,2.90%,4381,-0.60%,NA,Quick Service & Frozen Desserts
22,Buffalo Wild Wings,NA,3669,-0.10%,1206,-0.20%,NA,Casual Dining & Sports Bar
23,Chili's Grill & Bar,NA,3563,2.20%,1242,-0.70%,NA,Casual Dining & Varied Menu
24,Jack in the Box,NA,3504,1.10%,2243,0.30%,NA,Quick Service & Burger
25,IHOP,NA,3266,2.00%,1710,0.30%,NA,Family Dining & Family Style
26,Texas Roadhouse,NA,3016,11.00%,553,3.80%,NA,Casual Dining & Steak
27,Denny's,NA,2691,1.10%,1558,-1.50%,NA,Family Dining & Family Style
28,Papa John's,NA,2638,-2.70%,3142,-1.80%,NA,Quick Service & Pizza
29,Outback Steakhouse,NA,2635,0.90%,724,-1.20%,NA,Casual Dining & Steak
30,Whataburger,NA,2556,5.80%,830,0.60%,NA,Quick Service & Burger
31,Red Lobster,NA,2490,1.60%,679,0.10%,NA,Casual Dining & Seafood
32,Cracker Barrel,"Cracker Barrel made the most surprising deal of 2019 when it took a $140 million stake in growth chain Punch Bowl Social. But that investment was tested in March, when the chain said it would not rescue Punch Bowl from foreclosure amid the coronavirus crisis, choosing instead to focus on helping its flagship chain and newly acquired Maple Street Biscuit Co.",2482,1.80%,660,0.80%,NA,Family Dining & Family Style
33,The Cheesecake Factory,NA,2180,2.50%,206,2.50%,NA,Casual Dining & Varied Menu
34,Jimmy John's Gourmet Sandwiches,NA,2105,-1.60%,2787,-0.50%,NA,Fast Casual & Sandwich
35,Hardee's,NA,2020,-4.00%,1820,-1.40%,NA,Quick Service & Burger
36,Zaxby's,NA,1886,6.00%,910,1.30%,NA,Fast Casual & Chicken
37,LongHorn Steakhouse,NA,1867,6.30%,530,1.90%,NA,Casual Dining & Steak
38,Culver's,"One of the country's fastest-growing chains over the past five years continued that trajectory in 2019, increasing sales by 13.9% and unit count by 6.7%. Because more than half of its sales come from takeout, it was working to improve its drive-thru technology and add mobile ordering.",1795,13.90%,732,6.70%,NA,Quick Service & Burger
39,Golden Corral,NA,1746,0.80%,483,-1.20%,NA,Quick Service & Family Casual
40,Five Guys Burgers and Fries,NA,1661,7.40%,1368,0.70%,NA,Fast Casual & Burger
41,Red Robin Gourmet Burgers and Brews,"A tumultuous year for the burger chain included the retirement of CEO Denny Marie Post, who had been with Red Robin since 2011, and continued attempts by activist investors to force a sale of the company. It named Paul Murphy as its new CEO in September.",1548,-0.30%,556,-3.00%,NA,Casual Dining & Varied Menu
42,Raising Cane's Chicken Fingers,NA,1466,23.80%,457,14.30%,NA,Fast Casual & Chicken
43,Carl's Jr.,NA,1423,-2.50%,1095,-2.30%,NA,Quick Service & Burger
44,Wingstop,"2019 marked Wingstop's 16th consecutive year of comps growth. In October, it said it planned to broaden its offerings to include whole wings to take advantage of lower commodity prices on whole chickens.",1363,19.00%,1231,9.50%,NA,Fast Casual & Chicken
45,Waffle House,Waffle House,1344,3.40%,1959,1.20%,NA,Family Dining & Family Style
46,Jersey Mike's Subs,NA,1340,16.70%,1667,11.60%,NA,Fast Casual & Sandwich
47,Bojangles',NA,1331,2.70%,746,-1.30%,NA,Quick Service & Chicken
48,BJ's Restaurant & Brewhouse,"BJ's Restaurants' bullish approach to off-premise has paid off, helping it to pass TGI Fridays and become the No. 10 casual-dining chain. As of July, delivery sales at the chain were growing at a 20% clip, and the chain reported that takeout and catering sales were increasing as well. BJ's also overhauled its back-of-house operations in 2019 to make things more efficient and easier on employees.",1161,4.00%,208,3.00%,NA,Casual Dining & Varied Menu
49,TGI Fridays,NA,1085,-8.50%,385,-7.90%,NA,Casual Dining & Varied Menu
50,In-N-Out Burger,NA,957,4.60%,351,3.50%,NA,Quick Service & Burger
51,Steak 'n Shake,"As of August, the chain had temporarily closed more than 100 locations with plans to refranchise them to single-store operators. And in early 2020, it announced plans to convert about 100 units to counter service. Prior to the coronavirus crisis, it was named in a Fitch Ratings report as a chain at risk of a Chapter 11 filing.",950,-7.70%,576,-3.00%,NA,Quick Service & Burger
52,P.F. Chang's,NA,917,1.40%,221,0.00%,NA,Casual Dining & Asian
53,Qdoba Mexican Eats,NA,901,5.90%,730,-2.90%,NA,Fast Casual & Mexican
54,El Pollo Loco,NA,894,3.00%,482,-0.40%,NA,Quick Service & Chicken
55,Krispy Kreme,NA,887,4.40%,364,4.00%,NA,Quick Service & Snack
56,Hooters,NA,858,0.40%,341,0.00%,NA,Casual Dining & Sports Bar
57,Del Taco,NA,850,4.00%,596,2.80%,NA,Quick Service & Mexican
58,Firehouse Subs,NA,832,4.80%,1155,1.90%,NA,Fast Casual & Sandwich
59,Bob Evans,NA,795,-4.20%,483,-1.40%,NA,Family Dining & Family Style
60,Moe's Southwest Grill,NA,749,2.00%,730,1.50%,NA,Fast Casual & Mexican
61,Papa Murphy's Pizza,"Though the chain saw declines in both sales and units in 2019, it remains beloved by consumers. Guests surveyed by Technomic named it their favorite limited-service pizza chain as well as a leader in tech-enabled ordering.",748,-5.90%,1329,-5.10%,NA,Quick Service & Pizza
62,Ruby Tuesday,NA,731,-11.40%,451,-8.10%,NA,Casual Dining & Varied Menu
63,McAlister's Deli,NA,725,7.00%,460,3.60%,NA,Fast Casual & Sandwich
64,Cheddar's Scratch Kitchen,NA,724,0.60%,175,2.90%,NA,Casual Dining & Varied Menu
65,Church's Chicken,NA,716,-5.20%,1032,-5.00%,NA,Quick Service & Chicken
66,Tim Hortons,"On the other side of that equation is Tim Hortons, which saw its consumer approval ratings slip by nearly 6 points in 2019, according to Technomic. A turnaround plan includes a renewed focus on the chain's core coffee and breakfast platforms along with changes to its loyalty program and a $100 million investment in drive-thru menu boards.",714,-3.50%,715,-1.70%,"Toronto, ON",Quick Service & Coffee Cafe
67,Ruth's Chris Steak House,NA,703,1.60%,135,1.50%,"Winter Park, FL",Steak
68,Carrabba's Italian Grill,NA,653,-1.00%,225,-0.90%,NA,Casual Dining & Italian/Pizza
69,Jason's Deli,NA,647,-1.10%,283,1.80%,NA,Fast Casual & Sandwich
70,Marco's Pizza,NA,628,4.80%,915,3.60%,NA,Quick Service & Pizza
71,Shake Shack,NA,622,31.80%,173,27.20%,NA,Fast Casual & Burger
72,California Pizza Kitchen,NA,621,-3.30%,199,-0.50%,NA,Casual Dining & Italian/Pizza
73,Baskin-Robbins,NA,615,0.60%,2524,-1.00%,NA,Quick Service & Frozen Desserts
74,Yard House,NA,609,6.60%,79,9.70%,NA,Casual Dining & Varied Menu
75,Bonefish Grill,NA,587,-0.90%,197,0.00%,NA,Casual Dining & Seafood
76,White Castle,NA,579,2.40%,371,-0.50%,NA,Quick Service & Burger
77,Tropical Smoothie Cafe,NA,576,21.80%,834,16.00%,NA,Quick Service & Beverage
78,Dave & Buster's,NA,571,6.50%,132,10.90%,"Dallas, TX",Sports Bar
79,Dutch Bros. Coffee,NA,567,15.00%,369,13.20%,NA,Quick Service & Coffee Cafe
80,Captain D's Seafood Kitchen,NA,561,3.10%,540,2.10%,NA,Quick Service & Seafood
81,Auntie Anne's,NA,559,0.20%,1288,-0.50%,NA,Quick Service & Snack
82,First Watch,NA,558,35.10%,368,24.70%,NA,Family Dining & Family Style
83,Perkins Restaurant & Bakery,"After its parent company filed for Chapter 11 protection in August, the struggling family-dining chain was scooped up by Huddle House for $51.5 million. Its new owner said it had no plans to convert Perkins units into Huddle Houses or vice versa.",541,-9.50%,309,-13.00%,NA,Family Dining & Family Style
84,Freddy's Frozen Custard & Steakburgers,NA,535,12.90%,368,12.20%,NA,Fast Casual & Burger
85,Checkers Drive-In Restaurants,NA,535,-1.80%,584,-0.20%,NA,Quick Service & Burger
86,Noodles & Company,"The chain followed up on its successful 2018 introduction of zucchini noodles with a cauliflower-based noodle last year. It also saw growth via digital channels and catering, and said it was poised to resume franchise growth that had slowed in recent years as the chain stabilized.",533,0.90%,457,-0.40%,NA,Fast Casual & Asian/Noodle
87,Einstein Bros. Bagels,NA,517,-2.10%,710,-2.60%,NA,Quick Service & Bakery Cafe
88,Jamba,NA,514,0.80%,767,-1.80%,NA,Quick Service & Beverage
89,Portillo's,NA,505,12.20%,62,8.80%,NA,Fast Casual & Sandwich
90,Boston Market,NA,501,-9.90%,390,-14.10%,NA,Fast Casual & Chicken
91,The Habit Burger Grill,NA,500,14.50%,273,10.50%,NA,Fast Casual & Burger
92,Logan's Roadhouse,NA,496,-3.70%,204,-1.00%,NA,Casual Dining & Steak
93,MOD Pizza,NA,483,23.80%,467,18.20%,NA,Fast Casual & Pizza
94,Smoothie King,NA,462,11.20%,972,8.00%,NA,Quick Service & Beverage
95,Mellow Mushroom,NA,461,-0.30%,187,-1.10%,NA,Casual Dining & Italian/Pizza
96,The Capital Grille,NA,461,4.70%,58,0.00%,NA,Fine Dining & Steak
97,Round Table Pizza,NA,450,1.30%,435,0.70%,NA,Quick Service & Pizza
98,Miller's Ale House,NA,446,10.20%,98,11.40%,NA,Casual Dining & Sports Bar
99,Potbelly sandwich Shop,"Potbelly closed stores and halted company-owned unit growth last year and hired a consulting firm to help it return to profitability. In a bid to boost operational efficiency, it debuted a new prototype in Chicago that reverses the concept's normal ordering process.",446,-2.50%,471,-1.50%,NA,Quick Service & Sandwich
100,Hungry Howie's Pizza,NA,439,7.00%,537,-2.40%,NA,Quick Service & Pizza
101,Charleys Philly Steaks,NA,435,4.90%,540,2.30%,NA,Quick Service & Sandwich
102,Chuy's,NA,426,7.10%,100,0.00%,"Austin, TX",Mexican
103,O'Charley's,NA,426,-7.60%,196,-5.30%,"Nashville, TN",Varied Menu
104,Pollo Tropical,NA,425,-2.10%,174,3.00%,"Miami, FL",Chicken
105,Maggiano's Little Italy,NA,417,1.10%,53,1.90%,"Dallas, TX",Italian/Pizza
106,Cicis,NA,410,-1.40%,420,0.70%,"Coppell, TX",Pizza
107,Long John Silver's,NA,404,-8.20%,850,-2.40%,"Louisville, KY",Seafood
108,Saltgrass Steak House,NA,402,14.90%,88,10.00%,"Houston, TX",Steak
109,Chuck E. Cheese's,NA,381,-0.50%,537,1.30%,"Irving, TX",Pizza
110,Taco John's,NA,373,0.50%,387,-1.30%,"Cheyenne, WY",Mexican
111,Texas de Brazil Churrascaria,NA,370,10.50%,58,9.40%,"Dallas, TX",Steak
112,Cold Stone Creamery,NA,369,-2.30%,895,-0.90%,"Scottsdale, AZ",Frozen Desserts
113,Blaze Pizza,NA,366,12.40%,313,5.70%,"Pasadena, CA",Pizza
114,Peet's Coffee,NA,357,4.30%,423,2.20%,"Emeryville, CA",Coffee Cafe
115,Dickey's Barbecue Pit,NA,349,-9.20%,497,-6.40%,"Dallas, TX",BBQ
116,Zoes Kitchen,NA,348,1.20%,256,-1.50%,"Plano, TX",Sandwich
117,Corner Bakery_Cafe,NA,348,-3.90%,175,-3.80%,"Dallas, TX",Bakery Cafe
118,Krystal Co.,NA,343,-9.00%,318,-10.70%,"Dunwoody, GA",Burger
119,Benihana,NA,340,1.60%,71,0.00%,"Doral, FL",Asian
120,Cooper's Hawk Winery & Restaurants,NA,338,19.90%,41,17.10%,"Countryside, IL",Varied Menu
121,Big Boy/Frisch's Big Boy,NA,338,-3.40%,194,-3.00%,"Warren, MI",Family Style
122,Black Bear Diner,NA,336,15.30%,138,15.00%,"Redding, CA",Family Style
123,Twin Peaks,NA,335,2.60%,84,0.00%,"Dallas, TX",Sports Bar
124,Schlotzsky's,NA,335,-0.50%,373,0.50%,"Atlanta, GA",Sandwich
125,Jet's Pizza,NA,331,-1.80%,383,-1.00%,"Sterling Heights, MI",Pizza
126,Famous Dave's,NA,329,-8.00%,128,-11.10%,"Minnetonka, MN",BBQ
127,On The Border Mexican Grill & Cantina,NA,327,-6.10%,136,-4.90%,"Irving, TX",Mexican
128,Fogo de Chao,NA,326,10.10%,43,13.20%,"Plano, TX",Steak
129,Ninety Nine Restaurants,NA,324,2.10%,108,0.90%,"Woburn, MA",Varied Menu
130,Village Inn,NA,313,-7.90%,183,-9.00%,"Denver, CO",Family Style
131,Taco Cabana,NA,311,-4.40%,172,1.20%,"Addison, TX",Mexican
132,Fleming's Prime Steakhouse & Wine Bar,NA,307,1.00%,68,-2.90%,"Tampa, FL",Steak
133,Caribou Coffee,NA,306,6.70%,464,3.80%,"Minneapolis, MN",Coffee Cafe
134,Jack's,NA,290,9.80%,176,8.60%,"Birmingham, AL",Burger
135,Au Bon Pain,NA,289,-8.10%,170,-5.60%,"Boston, MA",Bakery Cafe
136,Bar Louie,NA,284,-5.60%,128,-3.00%,"Addison, TX",Varied Menu
137,Sarku Japan,NA,281,2.40%,224,-0.40%,"New York, NY",Asian/Noodle
138,Old Chicago Pizza & Taproom,NA,275,4.50%,109,1.90%,"Chattanooga, TN",Italian/Pizza
139,Rally's Hamburgers,NA,275,-3.50%,290,-3.70%,"Lexington, KY",Burger
140,Torchy's Tacos,NA,272,17.30%,72,14.30%,"Austin, TX",Mexican
141,Pizza Ranch,NA,269,7.30%,212,2.90%,"Orange City, IA",Pizza
142,Pappadeaux Seafood Kitchen,NA,269,3.10%,40,0.00%,"Houston, TX",Seafood
143,Braum's Ice Cream & Dairy Stores,NA,268,2.20%,281,0.00%,"Oklahoma City, OK",Frozen Desserts
144,Pei Wei Asian Diner,NA,268,-12.50%,150,-16.70%,"Irving, TX",Asian/Noodle
145,Cafe Rio Mexican Grill,NA,267,9.90%,126,6.80%,"Salt Lake City, UT",Mexican
146,Morton's The Steakhouse,NA,266,-1.50%,63,-1.60%,"Houston, TX",Steak
147,Smashburger,NA,265,-6.50%,312,-3.40%,"Denver, CO",Burger
148,Wienerschnitzel,NA,265,3.60%,330,1.50%,"Irvine, CA",Sandwich
149,Sizzler,NA,259,-3.80%,122,-6.90%,"Mission Viejo, CA",Family Casual
150,Seasons 52,NA,253,1.40%,44,4.80%,"Orlando, FL",Varied Menu
151,Bahama Breeze Island Grille,NA,252,5.30%,43,7.50%,NA,Varied Menu
152,Pret A Manger,"CEO Clive Schlee retired after 16 years at the helm of the natural foods chain, handing the reign to COO Pano Christou. The transition came in July as Pret prepared to take over U.K. vegetarian chain Eat.",252,4.70%,95,3.30%,NA,Bakery Cafe
153,Godfather's Pizza,NA,250,4.90%,569,3.80%,NA,Pizza
154,Huddle House,NA,247,0.90%,342,-2.60%,NA,Family Style
155,Mastro's Restaurants,NA,242,9.70%,18,5.90%,NA,Steak
156,Uncle Julio's,NA,239,11.70%,36,2.90%,NA,Mexican
157,Fazoli's,NA,238,2.80%,215,0.00%,NA,Sandwich
158,Rubio's,NA,232,-0.10%,197,-3.40%,NA,Mexican
159,Legal Sea Foods,NA,227,-1.90%,34,-2.90%,NA,Seafood
160,A&W All-American Food,"The chain's 100th birthday found it working to reconcile its classic heritage with modern trends. It has doubled down on social media marketing to target younger generations and introduced tablet-based staff training to slow turnover. It's exploring delivery, though ""the jury's still out,"" CEO Kevin Bazner told RB in July.",227,1.80%,575,-6.50%,NA,Burger
161,Newk's Eatery,NA,227,0.40%,121,-0.80%,NA,Sandwich
162,Fuzzy's Taco Shop,NA,225,8.60%,152,3.40%,NA,Mexican
163,Sbarro,NA,218,-4.00%,300,-2.60%,NA,Pizza
164,Romano's Macaroni Grill,NA,218,-4.60%,85,-3.40%,NA,Italian/Pizza
165,Brio Tuscan Grille,NA,217,-4.00%,57,-1.70%,NA,Italian/Pizza
166,Lazy Dog Restaurant & Bar,NA,213,21.30%,36,20.00%,NA,Varied Menu
167,Souplantation & Sweet Tomatoes,NA,211,-3.30%,97,0.00%,NA,Family Casual
168,Friendly's,"The family-dining chain closed many underperforming units in 2019, including 23 on one day in April, reducing its unit count by more than 20% for the year. The 86-year-old brand cited ""shifting consumer demographics and market dynamics"" as challenges.",210,-15.30%,160,-20.40%,NA,Family Style
169,Del Frisco's Double Eagle Steak House,NA,205,12.40%,16,0.00%,NA,Steak
170,Penn Station East Coast Subs,NA,201,0.80%,306,-1.30%,NA,Sandwich
171,Cinnabon,NA,201,5.60%,956,3.50%,NA,Snack
172,Uno Pizzeria & Grill,NA,196,-12.90%,85,-14.10%,NA,Italian/Pizza
173,J. Alexander's,NA,195,2.80%,34,3.00%,NA,Varied Menu
174,Luby's,"Luby's, another of the industry's oldest concepts, also closed underperforming locations last year, shrinking its footprint by 6%. And in September, it said it had begun investigating ""strategic alternatives,"" or a sale, merger or refinancing.",195,-7.50%,79,-6.00%,NA,Family Casual
175,Which Wich,"Under the guidance of new President Cherry Hearn, the chain updated its food and beverage menu, starting with the introduction of french fries in July. It also planned to add more chef-created sandwiches in addition to its extensive build-your-own options.",193,-4.20%,372,-3.90%,NA,Sandwich
176,Firebirds Wood Fired Grill,NA,192,7.40%,51,6.30%,NA,Varied Menu
177,Le Pain Quotidien,NA,192,1.20%,94,0.00%,NA,Bakery Cafe
178,Sonny's BBQ,NA,191,-8.30%,94,-6.90%,NA,BBQ
179,True Food Kitchen,"The health-focused chain with a rotating menu is in growth mode, with plans for new units as well as its first stand-alone cocktail and juice bar, located next to a new True Food Kitchen location at Caesars Palace in Las Vegas.",190,13.80%,32,28.00%,NA,Varied Menu
180,Buca di Beppo,NA,189,-5.70%,76,-1.30%,NA,Italian/Pizza
181,Hard Rock Cafe,NA,187,-5.20%,40,-4.80%,NA,Varied Menu
182,Johnny Rockets,NA,186,-10.20%,155,-11.40%,NA,Varied Menu
183,Fuddruckers,NA,185,-15.80%,138,-11.50%,NA,Burger
184,The Original Pancake House,NA,185,3.10%,141,0.00%,NA,Family Style
185,Sweetgreen,"In June, Sweetgreen made its first acquisition: meal delivery service Galley Foods. The move signaled a new and more aggressive approach to delivery for the fast-growing chain, combining Sweetgreen's supply chain with Galley's knowledge of home delivery.",184,16.80%,102,10.90%,NA,Healthy
186,Golden Chick,NA,183,6.70%,184,0.50%,NA,Chicken
187,Mountain Mike's Pizza,NA,181,10.90%,215,5.40%,NA,Pizza
188,Bubba Gump Shrimp Co.,NA,181,-2.90%,27,0.00%,NA,Seafood
189,The Melting Pot,NA,181,-6.50%,105,-7.90%,NA,Varied Menu
190,Farmer Boys,NA,179,1.70%,93,1.10%,NA,Burger
191,Donatos Pizza,NA,179,3.80%,165,3.10%,NA,Pizza
192,Shoney's,NA,179,-4.40%,126,-0.80%,NA,Family Style
193,Taco Bueno,NA,178,-12.40%,145,-12.10%,NA,Mexican
194,Claim Jumper,NA,177,-10.20%,35,-5.40%,NA,Varied Menu
195,Wetzel's Pretzels,NA,177,3.90%,353,5.40%,NA,Snack
196,La Madeleine Country French Cafe,NA,174,2.40%,87,0.00%,NA,Bakery Cafe
197,Giordano's,NA,173,5.50%,70,1.40%,NA,Italian/Pizza
198,Islands Fine Burgers & Drinks,NA,173,0.90%,56,0.00%,NA,Varied Menu
199,Mimi's Bistro & Bakery,NA,172,-4.80%,77,-2.50%,NA,Varied Menu
200,Beef 'O' Brady's,"The chain is working on a rejuvenation, converting about 26 of its franchised units to company-owned ones and using those as testing grounds for new initiatives. It rolled out a separate lunch menu and added some higher-quality dinner options such as steak and salmon, and is also investing in high-tech fryers and a new POS system.",171,-5.00%,153,-2.50%,NA,Sports Bar
201,Metro Diner,NA,171,36.30%,69,3.00%,NA,Family Style
202,Bill Miller Bar-B-Q,NA,170,3.60%,75,1.40%,NA,BBQ
203,Black Angus Steakhouse,NA,168,1.60%,42,-4.50%,NA,Steak
204,Smokey Bones Bar & Fire Grill,"New CEO James O'Reilly, hired in May, plans to overhaul the barbecue chain's menu this year, disposing of items such as fish and chips and getting back to the basics with house-smoked barbecue, steaks and burgers. It will also focus more on the bar, with an emphasis on craft beer and cocktails.",168,-1.30%,61,-3.20%,NA,BBQ
205,Joe's Crab Shack,NA,166,-7.40%,53,-7.00%,NA,Seafood
206,LaRosa's Pizzeria,NA,164,3.70%,66,3.10%,NA,Italian/Pizza
207,Roosters,NA,163,6.70%,42,2.40%,NA,Varied Menu
208,Great Harvest Bread Co.,NA,162,-1.90%,182,-0.50%,NA,Bakery Cafe
209,Shari's Cafe and Pies,NA,161,-2.40%,92,0.00%,NA,Family Style
210,Lee's Famous Recipe Chicken,NA,161,-2.30%,129,-1.50%,NA,Chicken
211,Wayback Burgers,NA,159,2.00%,143,0.70%,NA,Burger
212,McCormick & Schmick's,NA,157,-15.60%,35,-14.60%,NA,Seafood
213,Grand Lux Cafe,NA,157,1.20%,13,0.00%,NA,Varied Menu
214,Anthony's Coal Fired Pizza,NA,153,4.00%,68,1.50%,NA,Italian/Pizza
215,Chicken Salad Chick,"Benefiting from being perhaps the only chain focusing on chicken salad, Chicken Salad Chick announced its 16th consecutive quarter of same-store sales growth in February 2020. It was acquired by private-equity firm Brentwood Associates in November.",153,39.50%,144,38.50%,NA,Chicken
216,Paris Baguette,"The chain originating in South Korea is growing quickly in the U.S. under the guidance of growth-chain veterans such as Darren Tipton and Jack Moran, formerly of Le Pain Quotidien. Tipton moved up to CEO for U.S. operations in 2019, and Moran became the company's global chief.",152,14.50%,81,8.00%,NA,Bakery Cafe
217,Eat'n Park,NA,152,-6.50%,63,-7.40%,NA,Family Style
218,Hurricane Grill & Wings,NA,151,0.80%,56,0.00%,NA,Sports Bar
219,The Old Spaghetti Factory,NA,150,2.20%,42,0.00%,NA,Italian/Pizza
220,Taziki's Mediterranean Cafe,NA,149,11.90%,93,6.90%,NA,Ethnic
221,Menchie's Frozen Yogurt,NA,149,-3.10%,416,-2.10%,NA,Frozen Desserts
222,Bruegger's Bagels,NA,148,-4.50%,210,-2.80%,NA,Bakery Cafe
223,Tijuana Flats,NA,147,6.50%,139,2.20%,NA,Mexican
224,Duffy's Sports Grill,NA,144,2.60%,34,0.00%,NA,Sports Bar
225,Eddie V's Prime Seafood,NA,144,8.10%,21,10.50%,NA,Seafood
226,Topgolf,"The eatertainment chain developed a new, smaller prototype that will allow it to go into small and midsize cities, greatly expanding its potential market. It was focused on places with between 100,000 and 500,000 residents. The first such location opened in Kirkland, Wash., in January.",144,14.60%,54,14.90%,NA,Varied Menu
227,Ocean Prime,NA,144,20.20%,16,6.70%,NA,Seafood
228,Pappasito's Cantina,NA,143,2.20%,25,0.00%,NA,Mexican
229,Pollo Campero,NA,143,1.10%,78,-2.50%,NA,Chicken
230,Houlihan's,The chain filed for bankruptcy in November and was simultaneously acquired by Landry's for $40 million. The move followed the closure of 12 unprofitable stores. It joins Landry's collection of polished-casual chains such as Morton's The Steakhouse and McCormick & Schmick's.,143,-21.20%,45,-32.80%,NA,Varied Menu
231,Old Country Buffet/HomeTown Buffet,NA,142,-18.80%,49,-24.60%,NA,Family Casual
232,Great American Cookies,NA,142,2.70%,368,2.20%,NA,Snack
233,Nobu,NA,139,9.40%,17,13.30%,NA,Asian
234,BurgerFi,NA,138,3.00%,112,7.70%,NA,Burger
235,Mission BBQ,NA,136,25.00%,90,21.60%,NA,BBQ
236,Walk-On's Sports Bistreaux,NA,133,27.80%,33,37.50%,NA,Sports Bar
237,The Coffee Bean & Tea Leaf,"The LA-based chain was acquired by Jollibee in July for $350 million, becoming the largest deal yet for the international fast-food company. Jollibee planned to grow the The Coffee Bean in Asia, where there's a race for coffee supremacy.",133,-2.10%,282,-0.70%,NA,Coffee Cafe
238,Yogurtland,NA,132,-2.60%,267,-2.20%,NA,Frozen Desserts
239,Daylight Donuts,NA,132,2.20%,415,0.20%,NA,Snack
240,WaBa Grill,NA,132,3.70%,191,0.00%,NA,Asian/Noodle
241,54th Street Restaurant & Drafthouse,NA,131,4.50%,31,6.90%,NA,Varied Menu
242,Biggby Coffee,NA,129,3.80%,240,0.80%,NA,Coffee Cafe
243,Costa Vida Fresh Mexican Grill,NA,129,5.20%,93,2.20%,NA,Mexican
244,L&L Hawaiian Barbecue,NA,129,5.10%,195,3.70%,NA,BBQ
245,Gyu-Kaku,NA,129,18.60%,52,8.30%,NA,Asian
246,Rainforest Cafe,NA,129,-10.40%,18,-5.30%,NA,Varied Menu
247,PDQ,NA,127,-5.50%,56,-11.10%,NA,Chicken
248,Lupe Tortilla,NA,127,12.10%,25,8.70%,NA,Mexican
249,Cook-Out Restaurant,NA,126,10.10%,270,7.10%,NA,Burger
250,Jollibee,NA,126,15.20%,40,11.10%,NA,Chicken
